main 		| complement 	| drinks

eggs 		| bread      	| milk
bread		| jam           | juice
oatmeal 	| apple         | milk
yogurt		| honey         | juice
grapefruit      | peanut butter | smoothie
yogurt		| blueberries   | juice
bread 		| cheese	| juice
eggs 		| bread      	| coffee
bread		| jam           | coffee
oatmeal 	| apple         | coffee
biscuit		| orange 	| tea
cereal 		| apple 	| milk
eggs 		| ham 		| coffee
bread 		| ham		| juice
potato		| butter	| juice
ice-cream	| syrup 	| smoothie
bread		| mushrooms	| tea
donut		| syrup		| juice
bread		| butter	| coffee
pancakes	| syrup		| milk
bread		| olive oil	| coffee
pancakes	| grapes	| juice
strawberries	| grapes	| juice
pancakes	| jam		| tea
crepes		| jam		| milk
oatmeal		| sugar		| milk
bread		| almond butter	| coffee
pizza		| cheese	| coffee
cheese 		| ham		| beer
eggs		| spinach	| juice
pancakes	| blueberries	| tea
bread		| nutella	| milk
potato		| spinach	| coffee
rice 		| pork		| water
beans		| bread		| coffee
pudding		| sugar 	| tea
nachos		| cheese	| juice
pudding		| sour cream	| water
beans		| tahini sauce	| coffee
noodles		| soy sauce	| tea
cake		| pudding	| smoothie
noodles		| eggs		| tea
bread		| soup		| water
soup		| apple		| water
tomato		| cheese 	| water


