BLANK, num_constraint_checks, num_var_assignments, runtime, sol_param
backtracking, 48, 2, 0.000710964202881, 0.0
heuristic_search, 1434, 3, 0.0341930389404, 0.0
branch_and_bound, 1059, 44, 0.0224921703339, 0.0
backtracking, 48, 2, 0.00160098075867, 0.05
heuristic_search, 1434, 3, 0.0243430137634, 0.05
branch_and_bound, 1017, 42, 0.0182259082794, 0.05
backtracking, 48, 2, 0.000878095626831, 0.1
heuristic_search, 1434, 3, 0.0259249210358, 0.1
branch_and_bound, 975, 40, 0.0184569358826, 0.1
backtracking, 48, 2, 0.000615835189819, 0.15
heuristic_search, 1434, 3, 0.0257070064545, 0.15
branch_and_bound, 933, 38, 0.014771938324, 0.15
backtracking, 48, 2, 0.00103497505188, 0.2
heuristic_search, 1434, 3, 0.0253639221191, 0.2
branch_and_bound, 891, 36, 0.0135779380798, 0.2
backtracking, 48, 2, 0.000643968582153, 0.25
heuristic_search, 1434, 3, 0.0285420417786, 0.25
branch_and_bound, 870, 35, 0.0143070220947, 0.25
backtracking, 48, 2, 0.000752925872803, 0.3
heuristic_search, 1434, 3, 0.0227708816528, 0.3
branch_and_bound, 828, 33, 0.0152590274811, 0.3
backtracking, 48, 2, 0.000630140304565, 0.35
heuristic_search, 1434, 3, 0.0211379528046, 0.35
branch_and_bound, 786, 31, 0.0114409923553, 0.35
backtracking, 48, 2, 0.000776052474976, 0.4
heuristic_search, 1434, 3, 0.0235891342163, 0.4
branch_and_bound, 744, 29, 0.00998687744141, 0.4
backtracking, 48, 2, 0.00067400932312, 0.45
heuristic_search, 1434, 3, 0.0242779254913, 0.45
branch_and_bound, 702, 27, 0.00970196723938, 0.45
backtracking, 48, 2, 0.000720977783203, 0.5
heuristic_search, 1434, 3, 0.0210130214691, 0.5
branch_and_bound, 681, 26, 0.0110328197479, 0.5
backtracking, 48, 2, 0.00125002861023, 0.55
heuristic_search, 1434, 3, 0.0190439224243, 0.55
branch_and_bound, 639, 24, 0.00756812095642, 0.55
backtracking, 48, 2, 0.000532865524292, 0.6
heuristic_search, 1434, 3, 0.0227830410004, 0.6
branch_and_bound, 597, 22, 0.00697493553162, 0.6
backtracking, 48, 2, 0.000547885894775, 0.65
heuristic_search, 1434, 3, 0.0168550014496, 0.65
branch_and_bound, 555, 20, 0.00636005401611, 0.65
backtracking, 48, 2, 0.000744104385376, 0.7
heuristic_search, 1434, 3, 0.0199630260468, 0.7
branch_and_bound, 513, 18, 0.00513911247253, 0.7
backtracking, 48, 2, 0.000483989715576, 0.75
heuristic_search, 1434, 3, 0.0157670974731, 0.75
branch_and_bound, 492, 17, 0.00466799736023, 0.75
backtracking, 48, 2, 0.000437021255493, 0.8
heuristic_search, 1434, 3, 0.0189809799194, 0.8
branch_and_bound, 450, 15, 0.00445485115051, 0.8
backtracking, 48, 2, 0.000409126281738, 0.85
heuristic_search, 1434, 3, 0.0134978294373, 0.85
branch_and_bound, 408, 13, 0.00289416313171, 0.85
backtracking, 48, 2, 0.000342130661011, 0.9
heuristic_search, 1434, 3, 0.0126399993896, 0.9
branch_and_bound, 366, 11, 0.00199317932129, 0.9
backtracking, 48, 2, 0.000221967697144, 0.95
heuristic_search, 1434, 3, 0.0141868591309, 0.95
branch_and_bound, 324, 9, 0.00144410133362, 0.95
