BLANK, num_constraint_checks, num_var_assignments, runtime, sol_param
heuristic_search, 1434, 3, 0.0301008224487, 0.0
branch_and_bound, 1059, 44, 0.0204939842224, 0.0
backtracking, 273, 7, 0.00386381149292, 0.0
heuristic_search, 1434, 3, 0.0270960330963, 0.05
branch_and_bound, 1017, 42, 0.0192999839783, 0.05
backtracking, 267, 7, 0.0050048828125, 0.05
heuristic_search, 1434, 3, 0.0256021022797, 0.1
branch_and_bound, 975, 40, 0.0160851478577, 0.1
backtracking, 261, 7, 0.00398302078247, 0.1
heuristic_search, 1434, 3, 0.0250761508942, 0.15
branch_and_bound, 933, 38, 0.0142481327057, 0.15
backtracking, 231, 6, 0.00300812721252, 0.15
heuristic_search, 1434, 3, 0.024885892868, 0.2
branch_and_bound, 891, 36, 0.0132899284363, 0.2
backtracking, 225, 6, 0.00287199020386, 0.2
heuristic_search, 1434, 3, 0.0220057964325, 0.25
branch_and_bound, 870, 35, 0.0176751613617, 0.25
backtracking, 222, 6, 0.00280213356018, 0.25
heuristic_search, 1434, 3, 0.0225930213928, 0.3
branch_and_bound, 828, 33, 0.0157649517059, 0.3
backtracking, 216, 6, 0.00280404090881, 0.3
heuristic_search, 1434, 3, 0.0211780071259, 0.35
branch_and_bound, 786, 31, 0.0113160610199, 0.35
backtracking, 186, 5, 0.00210905075073, 0.35
heuristic_search, 1434, 3, 0.0230829715729, 0.4
branch_and_bound, 744, 29, 0.00984787940979, 0.4
backtracking, 180, 5, 0.00190901756287, 0.4
heuristic_search, 1434, 3, 0.0213890075684, 0.45
branch_and_bound, 702, 27, 0.0101609230042, 0.45
backtracking, 174, 5, 0.00189304351807, 0.45
heuristic_search, 1434, 3, 0.0186820030212, 0.5
branch_and_bound, 681, 26, 0.013091802597, 0.5
backtracking, 147, 4, 0.00159907341003, 0.5
heuristic_search, 1434, 3, 0.0238680839539, 0.55
branch_and_bound, 639, 24, 0.00770688056946, 0.55
backtracking, 141, 4, 0.00137901306152, 0.55
heuristic_search, 1434, 3, 0.0213241577148, 0.6
branch_and_bound, 597, 22, 0.00687003135681, 0.6
backtracking, 135, 4, 0.00127005577087, 0.6
heuristic_search, 1434, 3, 0.0169630050659, 0.65
branch_and_bound, 555, 20, 0.00618505477905, 0.65
backtracking, 105, 3, 0.00170278549194, 0.65
heuristic_search, 1434, 3, 0.0190079212189, 0.7
branch_and_bound, 513, 18, 0.00537800788879, 0.7
backtracking, 99, 3, 0.000940084457397, 0.7
heuristic_search, 1434, 3, 0.015683889389, 0.75
branch_and_bound, 492, 17, 0.00490498542786, 0.75
backtracking, 96, 3, 0.00123810768127, 0.75
heuristic_search, 1434, 3, 0.017795085907, 0.8
branch_and_bound, 450, 15, 0.0038161277771, 0.8
backtracking, 90, 3, 0.000710010528564, 0.8
heuristic_search, 1434, 3, 0.0132699012756, 0.85
branch_and_bound, 408, 13, 0.00293707847595, 0.85
backtracking, 60, 2, 0.000494956970215, 0.85
heuristic_search, 1434, 3, 0.0139410495758, 0.9
branch_and_bound, 366, 11, 0.00209879875183, 0.9
backtracking, 54, 2, 0.00031304359436, 0.9
heuristic_search, 1434, 3, 0.013916015625, 0.95
branch_and_bound, 324, 9, 0.00150108337402, 0.95
backtracking, 48, 2, 0.00032114982605, 0.95
